,skill_name
10,econometrics
11,excel-vba
12,financial-analysis
13,financial-modeling
14,financial-writing
15,forex-trading
16,investment-research
17,python
18,r
19,statistics
30,data-analysis
31,data-entry
32,database-design
33,database-testing
34,java
35,microsoft-access-programming
36,microsoft-office
37,microsoft-sql-server-administration
38,article-writing
39,business-analysis
40,business-intelligence
41,business-plans
42,business-process-modelling
43,business-writing
44,content-writing
45,creative-writing
46,microsoft-excel
47,project-management
48,apache-spark
49,data-analysis
50,machine-learning
51,matlab
52,microsoft-excel
53,python
54,r
55,stata
56,statistical-computing
57,statistics
58,bio-informatics
59,data-mining
60,data-visualization
61,java
62,javascript
63,machine-learning
64,python-numpy
65,python-scipy
66,r
67,scientific-research
116,hadoop
117,mongodb
118,mysql
119,neo4j
120,python
121,r
122,artificial-intelligence
123,css
124,data-science
125,html
126,java
127,javascript
128,machine-learning
129,python
130,r
131,sql
132,python
133,r
134,ad-posting
135,administrative-support
136,data-entry
137,data-mining
138,email-marketing
139,etl
140,internet-research
141,lead-generation
142,pdf-conversion
143,virtual-assistant
144,business-management
145,data-analysis
146,java
147,microsoft-visual-c++
148,project-management
149,python
150,sap
151,statistical-computing
152,statistics
153,translation-english-spanish
154,big-data
155,business-mathematics
156,data-analysis
157,data-mining
158,data-modeling
159,data-science
160,machine-learning
161,predictive-analytics
162,python
163,r
164,c++
165,data-science
166,java
167,machine-learning
168,mathematics
169,matlab
170,physics
171,python
172,r
173,statistics
174,data-analysis
175,editing
176,esl-teaching
177,human-sciences
178,ibm-spss
179,proofreading
180,scientific-research
181,scientific-writing
182,teaching-english
183,adobe-acrobat
184,adobe-illustrator
185,adobe-indesign
186,adobe-livecycle
187,adobe-pdf
188,adobe-photoshop
189,document-conversion
190,microsoft-outlook-development
191,microsoft-publisher
192,pdf-conversion
193,ad-planning-and-buying
194,broadcast-advertising
195,database-design
196,direct-marketing
197,excel-vba
198,marketing-strategy
199,microsoft-access-programming
200,sql-programming
201,strategic-planning
202,tableau
203,data-modeling
204,data-science
205,image-processing
206,machine-learning
207,matlab
208,python-scipy
209,scientific-computation
210,scientific-research
211,scientific-writing
212,accounting
213,data-entry
214,internet-research
215,marketing-strategy
216,microsoft-excel
217,microsoft-powerpoint
218,microsoft-word
219,transcription
220,voice-over
221,voice-talent
222,data-entry
223,data-mining
224,internet-research
225,microsoft-excel
226,microsoft-word
227,web-scraping
228,c#
229,d3.js
230,data-science
231,java
232,javascript
233,machine-learning
234,nosql
235,python
236,r
237,sql
